id; rank; relevant; text
1;	1;	1;	Я очень расстроена! Пошли в межсерверную битву, у вас случился баг, а мы тратили алмазы, моим соальяновцам, которые также как и я участвовали в битве, выслали компенсацию в виде алмазов, а мне показали фигу! Я тратила алмазы на свитки и дополнительные удары, а мне сказали, якобы я не тратила алмазы!!! Отвратительно поступаете, сказали вышлете всем, а в итоге многих участвовавших в битве обделили!
2;	5;	1;	Уважаемые разработчики, благодарю за ваш ответ и за возвращенные свитки и пр., что было затрачено на межсерверную битву. Отдельное спасибо хочу сказать за новый ивент - "Кухня". Это практически единственный ивент, на котором без доната можно набрать достаточно плюшек! Мое пожелание: почаще запускайте эту кухню! Хоть 4 раза в месяц! Ведь на ней можно столько кри поднять, которые так нужны для игрового процесса! А сам магазин в кухне просто шикарный!
3;	5; 1;	Играю с ноября. До сих пор не надоедает. Добавляет интерес общение с ребятами в альянсе и между альянсами. К донатерам отношусь спокойно,они всегда будут. Я и многие другие мои товарищи попадают в топы без реальных вложений. Много ивентов и добавляются новые. Дворцовая кухня с шикарными наградами. Было бы неплохо узнать когда она будет в следующий раз)
4;	2;	1;	У меня Клара виснит,она бывает прозрачной или вклеточку,а если на прогулке встретися то голова мужика влезает и так уже длится неделю,и у Ирем бывает нет рук или головы,а бывает нет и головы и рук у неё,да и сделайте чтобы покупки можно было совершать через оперетора Tele2, Надеюсь я буду услышана
5;	5;	0;	Лучшая игра!
6;	2;	0;	Ужасная игра! Разработчики не смотрят на мнения играков, только донат!
7;	3;	0;	скажу честно игра на интернете это мне не нравится минус одна звезда. Почему столько мигобайтов?! Три звезды я ставлю
8;	1;	1;	Игра напрямую конвертирующая твое время и деньги в силу. Чтобы играть не нужно особых ума и фантазии, просто заходите раз в полтора часа и тыкайте все возможные кнопки, это путь к успеху, остальное придет позже.
9;	3;	0;	игра рекламе не соответствует
10;	5;	1;	Игра класная! Играю с удовольствием! На счет алмазов, они легко добываються, а в магазине все в принципе дешево, так что это плюс. Удачи, разроботчики!
11;	1; 1;	Очки не добавляются при приготовлении блюд, несколько раз писала в тех поддержку никто не отвечает. Должны были добавить 8 к очков, но ничего не поменялось. Разочаровалась в игре
12;	5; 0;	Интересная игра
13;	1; 1;	хочу обратить ваше внимание народ не допускайте донат ни в коем случае украли замок стоимостью 800кусков вернуть обратно ни как не получается разработчики неактивизируются проходят мимо!!!очень печально. Игре минус 5 звезд
14;	1; 1;	Я вообшето не хотела ставить звезду. Потому что это тупое приложение не скачивается!!!
15;	1; 0;	за рекламу 1 звезда.
16;	1; 0;	Деньговыжималка
17;	5; 0;	просто класс
18;	5; 1;	Игра офигенная! Большое спасибо разработчикам за эту классную игру!
19;	1; 1;	Просто кошмар. Я пыталась скачать игру несколько раз в течении месяца. И все пишет ошибка. Я выполнила все что советовал Гугл. Перезапускала устройство, очищала кэш, и стерала данные Play Маркета. Ничего не помогает. А я очень хочу поиграть в эту игру!!!!
20;	5; 1;	Игра супер!!!!! Всем советую её скачать
21;	3; 0;	Как взломать игру?
